,Accession,ATAC-seq,CAGE,CEBPB,CTCF,ChIA-PET,DNase-seq,EP300,EZH2,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac,JUND,MAX,MYC,POLR2A,POLR2AphosphoS5,RAD21,REST,RNA-seq,YY1
132,ENCBS038LRK,,,,,,,,,,,,,,,,,,,,,,ENCSR561YSH,ENCSR042RIW,ENCSR445RFF,,ENCSR782OZZ,,ENCSR421HUB,,,,,,,ENCSR737NLJ,,,,,,,,,,,,,,,
133,ENCBS038RNY,ENCSR516YAD,,,,,,,,,,,,,,,,,,,,,ENCSR754DRC,,,,ENCSR564EFE,,ENCSR672RKZ,,,,,,,,,,,,,,,,,,,,,,
134,ENCBS039ENC,,,ENCSR000EHE,ENCSR000EGM,,,ENCSR000EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000EGN,ENCSR000EFV,ENCSR000EGJ,ENCSR000EHL,,ENCSR000FAD,,,
135,ENCBS040KTJ,,,,,,ENCSR129GCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,ENCBS040MJM,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR850QKN,,,,,,,,,,,,,,,,,,,,,,,
137,ENCBS040UGC,,,,,,,,,,,,,,,,,,,,,,ENCSR820DOR,ENCSR660TLD,ENCSR615ECV,,ENCSR371LUA,ENCSR250YFT,ENCSR205SJZ,,,,ENCSR927XFE,,,ENCSR598XDA,,,ENCSR243UAI,,,,,,,,,,,,
138,ENCBS041TLB,ENCSR565DSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,ENCBS041UOV,,,,,,,,,,,,,,,,,,,,,,ENCSR227FYJ,ENCSR230KKL,ENCSR505THJ,,ENCSR972NUZ,,ENCSR423AKG,,,,,,,ENCSR353LBX,,,,,,,,,,,,,,,
140,ENCBS042RAQ,ENCSR165FYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,ENCBS042USZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR902BOX,,,,,,,,,,,,,,,,,,,,,,
142,ENCBS043LJN,ENCSR072UYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,ENCBS043VTG,,,,,,ENCSR457JOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,ENCBS044HUV,,,,,,ENCSR930PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,ENCBS044KJV,,,,ENCSR000DTR,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DTT,,,,,,,,,,,,,,,,,,,,,,
