,Accession,ATAC-seq,CAGE,CEBPB,CTCF,ChIA-PET,DNase-seq,EP300,EZH2,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac,JUND,MAX,MYC,POLR2A,POLR2AphosphoS5,RAD21,REST,RNA-seq,YY1
2173,ENCBS721WZU,,,,,,ENCSR351FWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,ENCBS721YNV,,,,,,,,,,,,,,,,,,,,,,,ENCSR198HVO,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,ENCBS721ZTH,,,,,,ENCSR080ISA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,ENCBS722AKC,,,,,,ENCSR772HUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177,ENCBS723CDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DVN,,,,,,,,,,,,,,,,,,,,,,
2178,ENCBS723HLT,,,,,,ENCSR552XJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,ENCBS723NNV,,,,,,ENCSR951MYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2180,ENCBS723SKE,,,,,,ENCSR709PZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,ENCBS724NLM,,,,,,,,,,,,,,,,,,,,,,ENCSR102GGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,ENCBS724VYT,,,,ENCSR038VWU,,,,,,,,,,,,,,,,,,,,ENCSR001UVQ,,ENCSR498LHL,,ENCSR869XBX,,,,,,,ENCSR067VEM,,,,,,,,,,,,,,,
2183,ENCBS725CUA,,,,,,ENCSR001QTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2184,ENCBS725IOX,ENCSR312UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2185,ENCBS725VAK,,,,,,ENCSR731QLJ,,,,ENCSR753RYH,,,,,,ENCSR809CVZ,,,,,,ENCSR013KEC,ENCSR832JVP,ENCSR824UNY,,ENCSR065HOR,ENCSR786GJM,ENCSR501JET,,ENCSR594AQO,,ENCSR701KJD,,,ENCSR746CUY,,,,,,,,,,,,,,,
2186,ENCBS725VZG,,,,,,ENCSR839GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,ENCBS726IHU,,,,,,,,,,,,,,,,,,,,,,,ENCSR214JUK,ENCSR240LEQ,,ENCSR598AGY,,ENCSR501FTL,,,,ENCSR152UWC,,,ENCSR213APK,,,,,,,,,,,,,,,
2188,ENCBS726LLE,,,,,,ENCSR582QEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,ENCBS726RZP,ENCSR802GEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,ENCBS726UUU,,,,,,,,,,,,,,,,,,,,,,ENCSR059MVB,ENCSR475NLR,ENCSR897FOZ,,,,ENCSR778VGY,,,,,,,,,,,,,,,,,,,,,,
2191,ENCBS727DXY,,,,,,ENCSR891VOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2192,ENCBS727KFR,,,,,,ENCSR438LZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2193,ENCBS727PXI,,,,,,ENCSR549NRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2194,ENCBS727XQL,,,,,,,,,,,,,,,,,,,,,,ENCSR600TOW,ENCSR965BLU,ENCSR353MNV,,ENCSR134KZX,,ENCSR037GFN,,,,,,,ENCSR939CJE,,,,,,,,,,,,,,,
2195,ENCBS728DKU,ENCSR260ZIV,,,ENCSR146BGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR367UUC,,,,,
2196,ENCBS728XMM,,,,,,,,,,,,,,,,,,,,,,ENCSR279KIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2197,ENCBS729HUF,,,,ENCSR000DTA,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DTC,,,,,,,,,,,,,,,,,,,,,,
2198,ENCBS729LWO,,,,,,,,ENCSR520VTO,ENCSR874HSH,,,,,,,,ENCSR678AFU,,,,,,,,,,ENCSR790EDQ,,,,ENCSR155XXB,ENCSR076JBA,,ENCSR768JED,ENCSR189AGR,,,ENCSR960ZMM,,,,,,,,,,,,
2199,ENCBS729PWD,,,,,,ENCSR085MZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,ENCBS729QZR,,,,,,,,,,,,,,,,,,,,,,ENCSR000EXK,,,,ENCSR000EXJ,,ENCSR000EXI,,,,,,,,,,,,,,,,,,,,,,
2201,ENCBS730FTQ,,,,,,ENCSR171ADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202,ENCBS731CKT,,,,,,ENCSR252NVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,ENCBS731GTN,,,,ENCSR355ALW,,,,,,,,,,,,,,,,,,ENCSR601VHO,ENCSR453MSI,ENCSR716TNU,,ENCSR499VCQ,,ENCSR098OLN,,,,,,,ENCSR283BRU,,,,,,,,,,,,,,,
2204,ENCBS731WAW,,,,,,,,,,,,,,,,,,,,,,ENCSR405FZE,ENCSR062ARL,ENCSR176WAS,,ENCSR513NFT,,ENCSR799TMR,,,,ENCSR191OEG,,,ENCSR746QFI,,,,,,,,,,,,,,,
2205,ENCBS732JEF,ENCSR541KFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,ENCBS732PNZ,,,,,,,,,ENCSR526NKM,,,,ENCSR895YWA,,,,,ENCSR719QMW,ENCSR604THF,ENCSR734MEM,,,,,ENCSR115PQP,,,,,,,,,,,,,,,ENCSR172CVZ,,,,,,,,,,
2207,ENCBS732UXU,,,,,,ENCSR022ECC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,ENCBS733LER,,,,ENCSR610UDC,,,,,,,,,,,,,,,,,,ENCSR004YQD,ENCSR558GCO,,,,,ENCSR662BVK,,,,,,,,,,,,,,,,,,,,,,
2209,ENCBS733MQS,ENCSR709QRD,,,,,,,,,,,,,,,,,,,,,ENCSR489LNU,,,,ENCSR778FKK,,ENCSR595HWK,,,,,,,,,,,,,,,,,,,,,,
2210,ENCBS733NEA,ENCSR769DGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2211,ENCBS733PYV,,,,,,ENCSR118WIQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212,ENCBS733SDO,,,,,,ENCSR531HPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213,ENCBS734IHH,ENCSR854TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2214,ENCBS734LCE,ENCSR917WJS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2215,ENCBS734TEK,,,,,,ENCSR260UJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,ENCBS734TTU,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DRX,ENCSR000DRW,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,ENCBS734TWP,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR152QRE,,,,,,,,,,,,,,,,,,,,,,,,
2218,ENCBS735IQJ,ENCSR053SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219,ENCBS735OUX,,,,,,ENCSR565EBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,ENCBS735RKY,,,,,,ENCSR395HAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2221,ENCBS736CMF,,,,ENCSR270KFY,,,,,,,,,,,,,,,,,,ENCSR233RWF,ENCSR237QNB,,,,,ENCSR787QZE,,,,,,,,,,,,,,,,,,,,,,
2222,ENCBS736JSB,,,,,,ENCSR629TMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,ENCBS736PQK,,,,,,,,,,,,,,,,,,,,,,ENCSR535GFO,ENCSR940FNL,ENCSR753HPM,,ENCSR187SVM,,ENCSR342FPJ,,,,,,,,,,,,,,,,,,,,,,
2224,ENCBS736QNA,,,,,,ENCSR210JVF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,ENCBS736RZQ,,,,,,ENCSR531UVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2226,ENCBS736SRW,,,,,,ENCSR098PTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,ENCBS737BYZ,,,,,,ENCSR698VDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,ENCBS737CLB,ENCSR637XSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2229,ENCBS737HIZ,,,,,,,,ENCSR511CUH,ENCSR816JBG,,,,,,,,ENCSR873EIA,,,,,ENCSR124VOE,ENCSR654VRX,ENCSR714KGG,,,ENCSR045HLL,ENCSR608VNA,,,ENCSR076NBJ,ENCSR531QHM,,ENCSR397HSO,ENCSR405NQJ,,,ENCSR958ZMM,,,,,,,,,,,,
2230,ENCBS737ISY,,,,,,ENCSR180KMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,ENCBS737IZN,,,,ENCSR857PBV,,,,,,,,,,,,,,,,,,ENCSR391NPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2232,ENCBS737YXU,ENCSR379NMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233,ENCBS738TIQ,,,,ENCSR329KRE,,,,,,,,,,,,,,,,,,ENCSR220TRW,ENCSR675VCH,,,,,ENCSR622QCU,,,,,,,,,,,,,,,,,,,,,,
2234,ENCBS738ZRW,,,,,,ENCSR245AXW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2235,ENCBS739EVX,ENCSR177JWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236,ENCBS739HXE,ENCSR504OUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2237,ENCBS740FJL,,,,,,ENCSR312ZTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2238,ENCBS740OND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR395USV,,,,,,,,,,,,,,,
2239,ENCBS740UAH,,,,,,ENCSR429RHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,ENCBS740WOA,,,,,,,,,,,,,,,,,,,,,,,,ENCSR789RGI,,,,,,,,,,,,,,,,,,,,,,,,,,
2241,ENCBS741FXQ,,,,,,,,,,,,,,,,,,,,,,,ENCSR113LFZ,,,ENCSR290EHP,,ENCSR922CAT,,,,,,,ENCSR691BNO,,,,,,,,,,,,,,,
2242,ENCBS741IJV,,,,,,ENCSR691MQJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,ENCBS741KVA,,,,,,,,,,,,,,,,,,,,,,ENCSR869TDT,,,,,,ENCSR822EOS,,,,,,,,,,,,,,,,,,,,,,
2244,ENCBS741LLD,,,,,,ENCSR754LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2245,ENCBS741NCL,,,,,,,,,,,,,,,,,,,,,,ENCSR209QGZ,ENCSR855JPU,,,ENCSR863GVT,,,,,,,,,ENCSR262LFG,,,,,,,,,,,,,,,
2246,ENCBS741UNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR578QSO,,,,,,,,,,,,,,,,,,,,,,
2247,ENCBS743EKM,,,,,,ENCSR946DXB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248,ENCBS743HHD,,,,,,ENCSR856NXV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,ENCBS743JKX,,,,ENCSR000AMA,,,,,ENCSR000AOK,,,,,,,,,,,,,ENCSR000AMO,ENCSR000AOL,ENCSR000AMB,,ENCSR000APV,ENCSR000AMC,ENCSR000AMP,,,ENCSR000AOM,ENCSR000AMD,,,ENCSR000ATD,,,ENCSR000AMQ,,,,,,,,,,,,
2250,ENCBS746BPC,,,,,,ENCSR563XRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2251,ENCBS746QTW,,,,,,ENCSR914DOH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2252,ENCBS747GJP,,,,,,ENCSR781TYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2253,ENCBS747YUA,,,,ENCSR000DPG,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DPI,,,,,,,,,,,,,,,,,,,,,,
2254,ENCBS748DLA,ENCSR955JSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2255,ENCBS748EGF,,,,ENCSR619WGF,,,,,,,,,,,,,,,,,,ENCSR946LTR,ENCSR157MPY,,,,,ENCSR252TQC,,,,,,,,,,,,,,,,,,,,,,
2256,ENCBS748KUK,,,,,,ENCSR000EQG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2257,ENCBS748WRO,,,,ENCSR000DWH,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DWJ,,,,,,,,,,,,,,,,,,,,,,
2258,ENCBS748WVA,,,,ENCSR000DWQ,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DWS,,,,,,,,,,,,,,,,,,,,,,
2259,ENCBS749EKF,,,,,,ENCSR722HJG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2260,ENCBS749EOK,,,,,,,,,ENCSR485OSV,ENCSR427RFW,,ENCSR355ZYK,ENCSR634IIF,,,ENCSR213TIR,,ENCSR499CAZ,ENCSR081JRM,,,,,ENCSR038OIN,ENCSR354UVU,ENCSR035DUS,,,,ENCSR213JMO,ENCSR486PWP,,,,,,ENCSR960JPH,,,ENCSR888MKB,,,,,,,,,,
2261,ENCBS749TWP,ENCSR513EVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262,ENCBS751KFE,ENCSR359HFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263,ENCBS752CNE,,,,,,ENCSR600RAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2264,ENCBS752IJY,,,,,,ENCSR796YOJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2265,ENCBS752TEN,,,,,,ENCSR360XIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2266,ENCBS753EAQ,,,,,,ENCSR326TID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2267,ENCBS753GEO,,,,,,ENCSR126EVX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2268,ENCBS753MYQ,ENCSR415LEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269,ENCBS754ANY,,,,,,ENCSR258IBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2270,ENCBS754FVJ,,,,ENCSR684PGO,,,,,,,,,,,,,,,,,,ENCSR249INE,ENCSR111DTF,ENCSR448IJB,,ENCSR035ONO,,ENCSR354ZUG,,,,,,,ENCSR244ZKA,,,,,,,,,,,,,,,
2271,ENCBS754GFE,,,,,,ENCSR405TXU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2272,ENCBS754HTZ,,,,,,,,,,,,,,,,,,,,,,,ENCSR275DXO,ENCSR585KLQ,,ENCSR203RKZ,,ENCSR520BUX,,,,,,,ENCSR489RQV,,,,,,,,,,,,,,,
2273,ENCBS754TWW,,,,,,,,,,,,,,,,ENCSR248KRU,,,ENCSR383CBN,,,ENCSR002YRE,ENCSR431UUY,ENCSR437ORF,,ENCSR831JSP,ENCSR672XZZ,ENCSR087PFU,,,,ENCSR219MYH,,,ENCSR055ZZY,,,,ENCSR706RRA,,,,,,,,,,ENCSR424FAZ,
2274,ENCBS755ACM,,,,,,ENCSR141RSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2275,ENCBS755ISG,,,,,,ENCSR648RAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2276,ENCBS755UWJ,,,,,,ENCSR000EOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2277,ENCBS756HNZ,,,,,,ENCSR000ENH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2278,ENCBS756QHV,ENCSR996ZCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2279,ENCBS756WUB,,,,,,ENCSR672EWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280,ENCBS757GPD,,,,ENCSR756ZKG,,,,,ENCSR629TDG,,,,,,,,,,,,,ENCSR857GMX,ENCSR867TPP,ENCSR638FRE,,ENCSR581LZU,ENCSR701ZDB,ENCSR548PZS,,,ENCSR957CQH,ENCSR996GHD,,,ENCSR604JFH,,,ENCSR779KYW,,,,,,,,,,,,
2281,ENCBS757KUG,,,,,,ENCSR442GKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,ENCBS757PCM,,,,,,,,,,,,,,,,,,,,,,ENCSR931WLE,,,,,,,,,,,,,ENCSR887ZPC,,,,,,,,,,,,,,,
2283,ENCBS757XQK,ENCSR846VPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284,ENCBS757ZRB,,,,,,,,,,,,,,,,,,,,,,,ENCSR916MHZ,ENCSR173ZMH,,ENCSR857LLS,,ENCSR263ELQ,,,,,,,ENCSR681AIW,,,,,,,,,,,,,,,
2285,ENCBS758YMW,,,,,,ENCSR839RAJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286,ENCBS759IDR,,,,,,ENCSR803JVQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2287,ENCBS759PEQ,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DWW,,,,,,,,,,,,,,,,,,,,,,,,,,
2288,ENCBS759WCA,,,,,,ENCSR470QCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2289,ENCBS760DRY,,,,,,,,,,,,,,,,,,,,,,,ENCSR804JFU,ENCSR380ORO,,,,ENCSR579SNM,,,,,,,ENCSR744EKG,,,,,,,,,,,,,,,
2290,ENCBS760QKF,,,,,,,,,,,,,,,,,,,,,,,,ENCSR029TTW,,,,ENCSR828CCQ,,,,,,,ENCSR440UCR,,,,,,,,,,,,,,,
2291,ENCBS761VSF,,,,,,ENCSR940NLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292,ENCBS761ZFJ,,,,,,ENCSR109RIQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2293,ENCBS762ARN,,,,,,ENCSR832THJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294,ENCBS762JNN,,,,,,ENCSR838IPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295,ENCBS762MWS,,,,,,ENCSR744UQK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296,ENCBS763SVQ,ENCSR204SMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297,ENCBS763TNR,ENCSR040DJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2298,ENCBS763XZW,ENCSR174SUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299,ENCBS764UUE,ENCSR390SLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,ENCBS765HGS,,,,ENCSR236YGF,,,,,,,,,,,,,,,,,,ENCSR208QRN,ENCSR840VWD,ENCSR047JMV,,ENCSR791LZY,,ENCSR933BVL,,,,,,,,,,,,,,,,,,,,,,
2301,ENCBS765QZC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR979RHZ,,,,,,,,,,,,,,,
2302,ENCBS766ARY,,,,,,,,,,,,,,,,,,,,,,,ENCSR038GYF,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,ENCBS766EWQ,,,,,,ENCSR155NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,ENCBS766HUL,,,,,,,,,,,,,,,,,,,,,,ENCSR217SDT,ENCSR597XRK,ENCSR797ELD,,ENCSR011IBZ,ENCSR911ONC,ENCSR122IWP,,,,ENCSR763VEJ,,,ENCSR999HNE,,,ENCSR660WMS,,,,,,,,,,,,
2305,ENCBS766ILR,,,,,,,,,,,,,,,,,,,,,,ENCSR837SGJ,ENCSR982PLJ,ENCSR363CJF,,ENCSR621BZD,,ENCSR878KIY,,,,,,,ENCSR005UXZ,,,,,,,,,,,,,,,
2306,ENCBS766QIV,,,,,,ENCSR416QNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307,ENCBS766UIZ,,,,,,ENCSR607HIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,ENCBS767STY,ENCSR241OBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309,ENCBS768KGZ,,,,,,ENCSR515EWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR584JXD,
2310,ENCBS768XJX,,,,,,ENCSR694DOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,ENCBS768YZN,,,,,,ENCSR597URK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312,ENCBS768ZLU,,,,ENCSR000DXI,,,,,,,,,,,,,,,,,,,ENCSR000DXK,ENCSR000DXH,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,ENCBS769DLJ,,,,ENCSR000DUX,,ENCSR000EOH,,,,,,,,,,,,,,,,,,,,,,ENCSR000DUZ,,,,,,,,,,,,,,,,,,,,,,
2314,ENCBS769EPD,,,,,,,,,,,,,,,,,,,,,,,ENCSR754VAJ,ENCSR870IUC,,ENCSR967HXD,,ENCSR716ZJH,,,,,,,ENCSR516KSY,,,,,,,,,,,,,,,
2315,ENCBS769LHW,,,,,,,,,,,,,,,,,,,,,,ENCSR285NFQ,ENCSR380KTU,ENCSR239WVI,,ENCSR580GOD,ENCSR251DKX,ENCSR105FGG,,,,ENCSR351OAC,,,ENCSR595IZX,,,ENCSR377IMJ,,,,,,,,,,,,
2316,ENCBS769NYE,,,,,,ENCSR010ZMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,ENCBS769QYN,,,,,,,,,,,,,,,,,,,,,,ENCSR492PXH,ENCSR588WOD,ENCSR372OTD,,ENCSR817QHX,,ENCSR884EVT,,,,,,,ENCSR111RZN,,,,,,,,,,,,,,,
2318,ENCBS769ZVS,,,,,,,,,,,,,,,,,,,,,,ENCSR123HEE,ENCSR804RMP,ENCSR286VMZ,,ENCSR638HSG,,ENCSR418JIS,,,,ENCSR892RZN,,,ENCSR431FZZ,,,,,,,,,,,,,,,
2319,ENCBS770RCF,ENCSR684KUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320,ENCBS770SDC,ENCSR370QWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,ENCBS770SKN,,,,,,ENCSR567EEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2322,ENCBS770TLM,,,,,,,,,,,,,,,,,,,,,,ENCSR105EMQ,ENCSR553XBX,ENCSR692DOM,,ENCSR420EWO,,ENCSR275EAG,,,,,,,ENCSR258ORJ,,,,,,,,,,,,,,,
2323,ENCBS771DBI,,,,,,ENCSR735BIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324,ENCBS771DYQ,,,,,,,,,,,,,,,,,,,,,,ENCSR810EPZ,ENCSR517SMA,ENCSR944RKI,,ENCSR372MTE,,ENCSR962AKF,,,,,,,ENCSR043SJS,,,,,,,,,,,,,,,
2325,ENCBS771ONG,,,,,,,,,,,,,,,,,,,,,,,ENCSR281JXC,ENCSR621WQY,,,,,,,,,,,ENCSR712WTM,,,,,,,,,,,,,,,
2326,ENCBS772AEX,,,,,,,,,,,,,,,,,,,,,,,,ENCSR136NUH,,ENCSR279HKO,,ENCSR433PUR,,,,,,,ENCSR104BSN,,,,,,,,,,,,,,,
2327,ENCBS773AAA,,,,ENCSR000DLS,,ENCSR000EJV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DLR,ENCSR000DLQ,,,,,
2328,ENCBS773HGU,,,,,,ENCSR739VKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,ENCBS773PND,,,,,,ENCSR140KPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330,ENCBS773VQF,,,,,,ENCSR724CND,,,,,,,,,,,,,,,,,ENCSR268BMX,ENCSR559BMF,,ENCSR014BTW,,ENCSR703DFH,,,,,,,ENCSR678WMQ,,,,,,,,,,,,,,,
2331,ENCBS774AAA,,,,,,ENCSR000EKF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
